Running bpa_pyriscv/riscv_isa/programs/benchmarks/median.riscv
                   0: PC: xxxxxxxx, IR: xxxxxxxx
                  99: PC: 800023a8, IR: fec7ece3, bltu a5,a2,0x800023a0
                 100: PC: 800023a0, IR: 00478793, addi a5,a5,0x4
                 101: PC: 800023a4, IR: feb7ae23, sw a1,0x-4(a5)
                 102: PC: 800023a8, IR: fec7ece3, bltu a5,a2,0x800023a0
                 103: PC: 800023a0, IR: 00478793, addi a5,a5,0x4
                 104: PC: 800023a4, IR: feb7ae23, sw a1,0x-4(a5)
                 105: PC: 800023a8, IR: fec7ece3, bltu a5,a2,0x800023a0
                 106: PC: 800023a0, IR: 00478793, addi a5,a5,0x4
                 107: PC: 800023a4, IR: feb7ae23, sw a1,0x-4(a5)
                 108: PC: 800023a8, IR: fec7ece3, bltu a5,a2,0x800023a0
                 109: PC: 800023a0, IR: 00478793, addi a5,a5,0x4
                 110: PC: 800023a4, IR: feb7ae23, sw a1,0x-4(a5)
                 111: PC: 800023a8, IR: fec7ece3, bltu a5,a2,0x800023a0
                 112: PC: 800023a0, IR: 00478793, addi a5,a5,0x4
                 113: PC: 800023a4, IR: feb7ae23, sw a1,0x-4(a5)
                 114: PC: 800023a8, IR: fec7ece3, bltu a5,a2,0x800023a0
                 115: PC: 800023a0, IR: 00478793, addi a5,a5,0x4
                 116: PC: 800023a4, IR: feb7ae23, sw a1,0x-4(a5)
                 117: PC: 800023a8, IR: fec7ece3, bltu a5,a2,0x800023a0
                 118: PC: 800023a0, IR: 00478793, addi a5,a5,0x4
                 119: PC: 800023a4, IR: feb7ae23, sw a1,0x-4(a5)
                 120: PC: 800023a8, IR: fec7ece3, bltu a5,a2,0x800023a0
                 121: PC: 800023a0, IR: 00478793, addi a5,a5,0x4
                 122: PC: 800023a4, IR: feb7ae23, sw a1,0x-4(a5)
                 123: PC: 800023a8, IR: fec7ece3, bltu a5,a2,0x800023a0
                 124: PC: 800023a0, IR: 00478793, addi a5,a5,0x4
                 125: PC: 800023a4, IR: feb7ae23, sw a1,0x-4(a5)
                 126: PC: 800023a8, IR: fec7ece3, bltu a5,a2,0x800023a0
                 127: PC: 800023a0, IR: 00478793, addi a5,a5,0x4
                 128: PC: 800023a4, IR: feb7ae23, sw a1,0x-4(a5)
                 129: PC: 800023a8, IR: fec7ece3, bltu a5,a2,0x800023a0
                 130: PC: 800023a0, IR: 00478793, addi a5,a5,0x4
                 131: PC: 800023a4, IR: feb7ae23, sw a1,0x-4(a5)
                 132: PC: 800023a8, IR: fec7ece3, bltu a5,a2,0x800023a0
                 133: PC: 800023a0, IR: 00478793, addi a5,a5,0x4
                 134: PC: 800023a4, IR: feb7ae23, sw a1,0x-4(a5)
                 135: PC: 800023a8, IR: fec7ece3, bltu a5,a2,0x800023a0
                 136: PC: 800023a0, IR: 00478793, addi a5,a5,0x4
                 137: PC: 800023a4, IR: feb7ae23, sw a1,0x-4(a5)
                 138: PC: 800023a8, IR: fec7ece3, bltu a5,a2,0x800023a0
                 139: PC: 800023a0, IR: 00478793, addi a5,a5,0x4
                 140: PC: 800023a4, IR: feb7ae23, sw a1,0x-4(a5)
                 141: PC: 800023a8, IR: fec7ece3, bltu a5,a2,0x800023a0
                 142: PC: 800023a0, IR: 00478793, addi a5,a5,0x4
